,,ATLAS COPCO PARTS LIST ,,,,,
Part Number ,Qty ,,Part Number ,Qty ,,Part Number ,Qty
BBC35WTH ,1,,147 1401 ,6,,211 1557‐00 ,4
101 1239‐00 ,4,,147 1401‐03 ,13,,211 1567 ,8
101 1274 ,47,,147 1422‐03 ,2,,211 1960‐83 ,4
101 1320 ,7,,147 1475‐03 ,8,,211 2640 ,10
101 1363 ,15,,147 1477 ,3,,211 5161‐15 ,8
102 0473‐00 ,2,,147 1477‐03 ,28,,216 1477 ,11
102 0476 ,1,,147 1479 ,21,,216 1481‐00 ,29
106 4404 ,6,,147 1480‐03 ,4,,235 2141 ,31
106 6369 ,4,,147 1481‐03 ,6,,246 1238 ,22
108 1236 ,20,,147 1483‐09 ,21,,246 1281 ,4
108 1243 ,18,,147 1485‐00 ,12,,259 0450 ,13
108 1298 ,2,,147 1487‐03 ,6,,259 2062 ,10
108 1319 ,9,,147 1489‐03 ,3,,259 2076‐01 ,4
108 1324 ,3,,147 1496‐09 ,6,,261 2114 ,6
108 1326 ,9,,147 1500‐03 ,8,,263 3115 ,12
108 1327 ,5,,147 1549 ,4,,263 3209 ,2
108 1328 ,3,,147 1557 ,10,,263 3212 ,1
108 1330 ,8,,147 1632 ,33,,265 1210 ,19
108 1332 ,1,,147 1634 ,4,,266 1112 ,6
108 1362 ,9,,147 1636 ,7,,266 2114 ,1
108 1393 ,5,,147 1721 ,8,,281 1366 ,16
108 1427 ,5,,148 5634 ,14,,281 1368 ,21
108 3236 ,2,,160 4247 ,5,,291 1111 ,4
108 3324‐00 ,5,,192 1243 ,6,,291 1114 ,44
108 3334 ,4,,194 1319 ,2,,291 1116‐00 ,25
108 3392‐00 ,15,,194 1320 ,9,,291 1118 ,10
108 3423 ,4,,194 1399 ,12,,291 1128‐23 ,6
111 1451 ,4,,196 1203‐0 ,1,,291 1161 ,2
111 1455 ,4,,196 1320‐00 ,3,,291 1162‐00 ,7
113 2255 ,5,,211 1326‐00 ,25,,291 1164‐00 ,20
144 2252 ,19,,211 1330 ,5,,291 1180‐03 ,8
147 1246 ,10,,211 1331 ,6,,295 3105 ,4
147 1323 ,3,,211 1332 ,5,,301 2126‐00 ,5
147 1323‐03 ,4,,211 1401 ,12,,301 2141 ,3
147 1324‐03 ,25,,211 1403 ,8,,301 2144 ,20
147 1328 ,5,,211 1473 ,10,,301 2194 ,2
147 1363‐03 ,16,,211 1479 ,7,,301 2201 ,29
147 1367 ,13,,211 1496‐00 ,16,,301 2221 ,2
147 1399 ,8,,211 1551 ,26,,301 2223 ,3
147 1400‐03 ,13,,211 1553 ,23,,301 2340 ,8
,,"LC VOUGHT, ATLAS COPCO PARTS LIST, PAGE 1 ",,,,,
,,ATLAS COPCO PARTS LIST ,,,,,
Part Number ,Qty ,,Part Number ,Qty ,,Part Number ,Qty
301 2521 ,5,,335 3572 ,6,,580 2202 ,10
302 1205 ,12,,335 3576‐00 ,2,,580 4810 ,4
304 1016‐00 ,3,,337 2550 ,99,,584 0067 ,20
304 1066‐00 ,4,,337 2582 ,1,,584 2067 ,41
333 0108 ,7,,337 2620 ,2,,584 6067 ,7
333 2125 ,26,,337 8300 ,6,,603 4101 ,3
