part_number,new_part_number
4.00E-146,3079753
4.00E-118,3079738
2.00E+01,50119650
4.80E+02,50119676
5.30E+02,
1124,95213419
1128,95213427
1134,95213443
1224,95248118
2.00E+03,5011975
32286,3775798
33628,3781077
33949,3782075
35272,3783743
35359,20090247
40669,3770187
40918,20025508
42018,20099958
42398,3783784
49261,3363132
49262,3363140
50000,3783768
71164,
71167,
71172,
202453,3783305
95053179,50103464
011CC4 ,
012HD1 ,50233188
04BB13 ,50114677
050BC43 ,50112960
05BB13 ,50114701
060BB13 ,50114719
060BC43 ,50319201
070BB13 ,50114727
070HD1 ,
092HD1 ,50233246
1009D475 ,50201391
100A19-14 ,3095775
1010D475 ,50016864
1011CM ,50115179
1011CM150A ,50204460
1011HCM ,50167659
1012CM ,50115187
1012HCM ,50167667
1013D475 ,50016872
1014D475 ,50016880
1018CM ,50233493
1019CM ,50114149
101BMPD-191 ,
101D45 ,50008325
1020CM ,50114180
1021CM ,50114164
1022RP38E ,50006766
1023CM ,50114206
1028CM2 ,50080696
1028DHD325A ,50152750
102A2H61 ,
102A2H96 ,95263323
1041CM2 ,50113406
1042CM150 ,50126531
1045URD475 ,50205673
1047URD550 ,50251594
1049CM ,50113463
104URD350 ,50216431
1052CM ,95223475
1053CM ,95096764
1054CM ,95223046
1056CM ,95223517
1057CM ,95223368
1058URD550 ,50297019
1059CM ,50113562
105A2H94 ,95263356
105L54 ,50162635
106-118 ,3669199
1060URD550 ,50368786
1064CM ,50113570
1065CM ,50233725
107-147 ,
107-151 ,
107-153 ,3199650
107-159 ,3199700
107-25 ,3199270
107-35 ,3785136
107-426 ,3798113
107-43 ,3785177
107-A3 ,3823259
107DHD275 ,50160860
108A23S12D ,95219747
108A23S4C ,95219697
108CC80 ,50022649
108JR300 ,50311612
10A902A1-P726 ,3068467
10BM-11 ,3020476
10BM-12 ,3020492
10BM-15 ,
10BM-24 ,3020526
10BM-30 ,3020559
10BM-37 ,
10BM-40 ,
10BM-42 ,3020633
10BM-478 ,
10BM-610 ,
10BM-67 ,3020708
10BM-69 ,3020716
10BM-744 ,
10BM-8 ,3020419
10BM-98 ,
10BMP-53 ,3020666
10BMP-604 ,
10IRL125 ,50065192
10PF1 ,
10PF2 ,50188127
110-626 ,3865540
110-704 ,3865557
110-728 ,3916491
1108CM250 ,50242817
1109CM2 ,50115658
111FM4 ,50192053
1126CM150 ,50124460
1127CM150 ,50200146
1128CM150 ,50124478
112CC80 ,50051697
112D475 ,50006451
112D475A ,50017466
112DA30 ,50057447
112DA35 ,50168269
112DB30 ,50051697
112DB30WD ,50051697
112DB35WD ,50162882
112DC35WD ,50161207
112J10 ,50003961
112J10A ,50007282
112J15 ,50010529
112JR300 ,50311620
112PB6 ,50018191
112PB8 ,50008069
112SAR120 ,50108364
112SAR85 ,50109016
112X70 ,50044544
112X71WD ,50049832
1131CM2 ,50114339
1132CM150A ,50206010
1132CM2 ,50114347
1133CM2 ,50114354
1135-4LS ,
1135CM150A ,50206028
1135CM2 ,50114370
1137CM ,50114388
1138CM150A ,50206036
113CC3 ,50019678
1147CM2 ,50114479
115797A ,
117CM ,50125566
117CM150A ,50120104
117CM250 ,50215615
117DMRD ,50035427
117FM4 ,50030410
117JHM ,50036441
118CM150A ,50120153
118DMRD ,50035435
119A2A172 ,95067856
119A2A173 ,50091909
119A2A198N ,95220604
119A2A200N ,95269916
119A2A202N ,95264131
119DBM3 ,
119FM ,50155845
119JHM ,50036490
11A13C32E ,95317020
11A2C118 ,95231593
11A2C329 ,50101500
11A2C382 ,50127026
11A2C440 ,50127778
11A3C252 ,95263760
11A3C394 ,95263786
11A4C7 ,95231700
11A5C13 ,50139906
11A5C6 ,95081667
11A5C9 ,95069571
11A9C132 ,95203477
11A9C138 ,50472604
11A9C75 ,95203436
11E ,50109982
11IRL125 ,50065200
11IRO16F ,50108919
1206WB ,
120A-531 ,
120A12X097 ,95270856
120A2A212 ,95391496
120A4-26 ,3467487
120A4-531 ,3437779
120A4-578 ,3483708
120A4-588 ,3474079
120A4-593 ,3437829
120A4-603 ,3437837
120A4-97 ,3474061
120CM ,50123207
120CM150 ,
120CM150A ,50120187
120CM250 ,50215672
122BCR4 ,
1231CM150A ,50206044
124CM150A ,50080662
124D475 ,
1251HCM2 ,50153972
125RP38E ,50007491
126JR300 ,50311638
128CM150 ,50083344
128RP38E ,50007509
12A2C386 ,50365352
12A2C388 ,50084938
12A2C440 ,50238896
12A3J265 ,95302576
12A4C7 ,95231700
12A5C10 ,95081733
12A5C11 ,50139880
12A5C4 ,50139765
12A5C7 ,
12A9C4 ,50060607
12DA35 ,
12PF2 ,
12PF3 ,50186477
12SR-R18 ,3036993
130-TK1 ,
130A23S06 ,95220976
130CC2 ,50018324
130LPF ,50055441
130SR-188 ,3039930
130SR-40 ,3037413
130SR-41 ,3037421
131A23S06 ,95221008
131CA3 ,
131CM150 ,50178839
131PF5 ,50177757
132A23S06 ,95221016
132PF5 ,50177765
133PF5 ,50177773
133SPF ,50198316
1364CM150A ,50117464
1364CM250 ,50215573
136A23S06 ,50085059
137A23S06 ,95221115
138A2A249 ,95221123
138FM2 ,
139A23S06 ,50179357
13BAR3 ,
13CC3 ,50019546
13DA35 ,
13JR300 ,50311661
13JR38B ,50172741
13JR38C ,50401736
13PF1 ,50187962
140DRD2 ,50163898
140JR38 ,
140JR38B ,50022763
140QRD3 ,50037233
140RP38 ,
140SR-30 ,3040219
140SR-31 ,3040227
140SR-34 ,3040250
141A12-27 ,3483971
141A12-29 ,3484037
141A12-A550 ,3483963
141A23S06 ,95221164
141AG-4 ,3488228
141AG-552 ,3494424
141AG-563 ,3494408
141DRD2 ,50163914
142JR38 ,95213302
14A5C101 ,
14A5C142 ,50140128
14CC2 ,50018258
14CC3 ,50019553
14IRO16A ,
14IRO16F ,50108927
14J50 ,95101697
14PF2 ,50188143
14PF3 ,50234368
150BM-3 ,3021672
150BME-17 ,
150BME-9 ,
150BMPA102A ,
150CC80 ,50023142
150FM2 ,50154228
150J10 ,50003979
150J30 ,50012111
150J30A ,50013069
150J40 ,50003219
150J50 ,50004423
150J50A ,50005123
150PB6 ,50001528
150SR-302 ,
151N75 ,
154FM3 ,50025717
155FM3 ,50025709
157DB30 ,50234574
157J50A ,50234681
157JR300 ,50311760
157JR38C ,50234640
157PB6 ,
157X59 ,
1585CM150A ,50201334
1598HCM2 ,50025113
159H-53 ,3034584
15A13C132 ,95381950
15A13C204 ,95265062
15A13C210 ,95228631
15A13C244 ,95280244
15A13C249 ,95264677
15A13C254 ,95280251
15A13S171 ,95265047
15A13W126 ,95280285
15A13X126 ,50089929
15A5C101 ,95081907
15A5C103 ,50089937
15A5C120 ,95210415
15A5C133 ,95096319
15A5C142 ,95043162
15A5C45 ,50139997
15A5C55 ,50140003
15A5C76 ,95096368
15CC80 ,50022508
15D50 ,50111905
15J15 ,50009935
15J30 ,5001030
15J50 ,50003722
15JA45 ,
15JL1 ,
15JR300 ,50200971
15JR38B ,50020619
15PF1 ,50187970
15R38 ,50043660
15S68 ,50023241
160BC2 ,
1619JHM ,50043462
161A13H112 ,95222790
161A13S100 ,95222865
161A13S112 ,95222873
161A13S125 ,95222811
161A13S137 ,95223384
161A13S162 ,95222923
161A13S187 ,95222956
161A13S206 ,
161A13S212 ,95222972
161A13S225 ,95222998
161A13S237 ,
161A13S250 ,
161A13S256 ,
161A13S275 ,95043394
161A13S281 ,50110238
161A13S283 ,50401520
161A13S287 ,95223061
161A13S312 ,95265955
161A13S347 ,
161A13S350 ,95303616
161A13S393 ,50111400
161A13S400 ,
161A13S412 ,
161A13S450 ,95223186
161A13S475 ,
161A13S550 ,95043345
161A13S662 ,95043352
