,INGERSOLL RAND COMPRESSOR PARTS ,,,,,,
Part Number,Qty,,Part Number,Qty,,Part Number,Qty 
AB836C6A ,1,,A43C2EWSE ,1,,A60CN1 ,1
AD6027 ,2,,A43C2WS ,13,,A60CN2AE ,3
AMDA125826 ,1,,A43C2WSFB ,4,,A60CN4 ,1
AMDA145826 ,3,,A43C3 ,46,,A60CS1 ,1
AMDA22307 ,5,,A43C33 ,15,,A60CS2 ,1
A18464 ,6,,A43C4 ,9,,A60C1 ,18
A243PC1 ,1,,A43C4FCA ,4,,A60C1WS ,1
A243PC15 ,84,,A43C5 ,11,,A60C1WSE ,12
A243PC19 ,40,,A43C6 ,10,,A60C1WSF ,13
A28CS3E ,1,,A465PC1WSC ,4,,A60C18 ,45
A28CS33P ,4,,A465PC18 ,20,,A60C18WS ,17
A28CS4E ,3,,A465PC33WS ,44,,A60C2 ,1
A36CN1 ,1,,A465PC5WS ,10,,A60C2HD ,4
A36CN2AB ,1,,A48CN1 ,8,,A60C2WSNB ,2
A36CN3WSB ,3,,A48CN4AB ,1,,A60C3 ,19
A36CN4WSB ,4,,A48CN3WS ,1,,A60C3H ,1
A36CS33 ,2,,A48CN4WS ,1,,A60C33E ,2
A36C1 ,1,,A48C1A ,4,,A60C33LP ,18
A36C1WSE ,3,,A48C1ED ,4,,A60C33WS ,13
A36C16 ,99,,A48C1WSE ,3,,A60C33WSB ,15
A36C2 ,7,,A48C1WSF ,1,,A60C4 ,23
A36C2AB ,18,,A48C16 ,3,,A60C4A ,4
A36C4WSB ,1,,A48C18WS ,6,,A60C4HC ,3
A36C6EA ,1,,A48C2 ,9,,A60C4WSB ,3
A36C6EWSE ,12,,A48C2AB ,1,,A60C5 ,6
A36C6EWSF ,6,,A48C2ED ,2,,A60C5H ,1
A36C6WSB ,8,,A48C2WSA ,5,,A60C6 ,14
A4012 ,3,,A48C2WSHD ,8,,A60C6A ,3
A43CN1 ,3,,A48C3WSE ,6,,A60C6WSMA ,4
A43CN2AC ,1,,A48C4ED ,2,,A67C1 ,4
A43CN3 ,1,,A48C6WS ,5,,A67C18 ,18
A43CN4 ,1,,A48C6W ,1,,A67C18WS ,40
A43C1 ,3,,A54CN1 ,1,,A67C2 ,16
A43C1A ,4,,A54CN2AB ,1,,A67C2WSA ,2
A43C1WSE ,8,,A54C1 ,2,,A67C20D ,3
A43C16 ,4,,A54C18 ,7,,A67C3 ,1
A43C18 ,19,,A54C2 ,1,,A67C33WS ,23
A43C18WS ,1,,A54C33 ,2,,A67C4 ,12
A43C2 ,1,,A54C33WS ,1,,A67C4WS ,4
A43C2AC ,4,,A54C5 ,2,,A67C4WSC ,2
,"LC VOUGHT INGERSOLL RAND COMPRESSOR PARTS, PAGE 1 ",,,,,,
,INGERSOLL RAND COMPRESSOR PARTS ,,,,,,
Part Number,Qty,,Part Number,Qty,,Part Number,Qty 
A67C5 ,3,,CB760913 ,2,,D40CS1 ,1
A67C6 ,4,,CB79090 ,1,,D40CS26 ,2
A67C6G ,8,,CCV17 ,1,,D40CS28 ,23
A67C6WS ,1,,CCV220 ,2,,D40CS29 ,2
A67C6WSHA ,1,,CMC36CS35 ,3,,D40CS33 ,34
A75C1 ,3,,CMK1738A ,40,,D41908 ,1
A75C1A ,6,,CMK22K1N ,3,,D42393T1 ,1
A75C1WSF ,2,,CMK22K2N ,6,,D42393T2 ,1
A75C16 ,2,,CMK36KF9A ,6,,D43511 ,1
A75C18 ,2,,CMY2814 ,5,,D43575 ,1
A75C2AB ,12,,CMY2815 ,8,,D44733 ,1
A75C2C ,3,,CMY5420 ,12,,ESV9 ,2
AA75C3 ,3,,CMY6027 ,5,,EW57549 ,1
A75C33B ,25,,CM1251125E1 ,8,,E1632T2 ,24
A75C5 ,3,,CM1251125E2 ,4,,E558TB ,41
A75C5E ,3,,CM6516 ,1,,E558TC ,99
A75C6 ,3,,CPM3008189X1 ,4,,E558TD ,13
A75C6A ,1,,CPM362B189X1 ,6,,E558TE ,25
A81C1 ,6,,CSV140A ,1,,E558TV ,2
A81C2 ,6,,CSV150A ,1,,FDG24396 ,2
A81C2D ,1,,CSV3B ,1,,FR11619T1 ,1
A81C3 ,11,,CU26983 ,5,,F140S ,1
A81C33V ,2,,CU7121 ,2,,F24835 ,2
A81C6 ,1,,C24943FP2 ,1,,F401 ,11
A81C6D ,18,,D116C16 ,24,,GSV2 ,1
