INGERSOLL RAND DRILL PARTS WITH OLD & NEW PARTS NUMBERS ,,,,,,
Old Part Number,New Part Number,Qty,,Old Part Number,New Part Number,Qty 
,,,,AF120‐40 ,3124369,2
A‐32 ,3013869,8,,AF120‐61 ,3124377,11
AAM ,,1,,AF120A‐296 ,3124971,2
AB13R38A ,50075464,1,,AF120AN‐337 ,3125382,3
AC‐A1357 ,50045426,16,,AF120C‐274 ,3124690,1
AC1‐2560‐1 ,50084086,3,,AF160‐279 ,3124781,6
AC21‐233 ,50094028,1,,AF160‐281 ,3126471,2
AE491HBC ,50194760,3,,AF160‐288 ,3126521,39
AFH120A‐351 ,3125572,6,,AF160‐289 ,3126539,26
AFH120A‐353 ,3125580,7,,AF160‐291Z ,3126570,99
AFH120A‐357 ,3125614,12,,AF160‐294 ,3126612,99
AFH120A‐358 ,3125630,99,,AF160‐298 ,3126679,10
AFH120A‐362 ,3125663,20,,AF160‐315 ,3126828,4
AFH120A‐363 ,3125671,7,,AF160‐336 ,3126901,2
AFH120A‐366 ,3125689,5,,AF17 ,,1
AFH120A‐367 ,3125697,6,,AF3S ,,90
AFH120A‐369 ,3125705,6,,AF9 ,50116409,1
AFH120A‐374 ,3125721,9,,AGS141‐106‐4 ,3667649,2
AFH120A‐378 ,3125754,7,,AGS141‐19 ,3667680,2
AFH160A‐350 ,3126919,1,,AGS141‐20 ,3667664,2
AFH160A‐369 ,3126935,4,,AGS141‐563 ,3667656,2
AF12 ,50114560,9,,AG120‐578 ,3644242,2
AF120‐260 ,3124542,18,,AG121‐337A ,,2
AF120‐261A ,3370525,22,,AG20‐A40 ,3625977,6
AF120‐262 ,3124567,23,,AG20‐103 ,3626173,1
AF120‐273 ,3124666,6,,AG20‐4B ,3644374,4
AF120‐277 ,3124716,11,,AG20‐53 ,3577939,2
AF120‐286 ,3124831,99,,AG21‐337A‐3 ,3643624,1
AF120‐287 ,3124849,7,,AG210‐578A ,3837226,2
AF120‐288 ,3124856,20,,AG220‐K552 ,3779782,3
AF120‐289 ,3124864,99,,AL‐636 ,3026085,43
AF120‐290 ,3124872,99,,AM1‐P473‐5 ,50495662,1
AF120‐292 ,3124922,1,,AN13JR38 ,50016922,1
AF120‐294 ,3124955,99,,AR‐274 ,3010147,9
AF120‐295 ,3124963,48,,AS‐195 ,3014131,1
AF120‐299 ,3125028,50,,AS‐196 ,3010147,12
AF120‐301 ,3125044,30,,AVA12‐6 ,3011400,2
AF120‐318 ,3125234,10,,AVC11‐259 ,3011590,99
AF120‐322 ,3125275,25,,AV1‐109 ,3010725,2
AF120‐328 ,3125325,30,,AV1‐165 ,3010808,3
AF120‐336 ,3125358,A123D475 ,,AV1‐167 ,3010816,2
,"LC VOUGHT INGERSOLL RAND DRILL PARTS, PAGE",,,,1,
INGERSOLL RAND DRILL PARTS WITH OLD & NEW PARTS NUMBERS ,,,,,,
Old Part Number,New Part Number,Qty,,Old Part Number,New Part Number,Qty 
AV1‐253 ,3010873,1,,A13URD475 ,50202191,1
AV1‐254 ,3010881,6,,A13URD475U ,50213941,1
AV1‐255 ,3010899,1,,A13X71WD ,50044684,3
