JOY COMPRESSOR,PARTS
Part Number,Qty,Part Number,Qty,Part Number,Qty
"",,29560W,35,40316W,13
62R101,4,29815W,36,40505W,6
97VX63,1,30432W,30,40507W,2
97X227,2,30497W,4,40856W1,1
478‐32L,5,30515W,28,41565W,23
1581‐426,1,30537W,7,41618W,42
9066W,2,31020,4,42585W,1
9218W,1,31021,12,43516W,36
PD10856‐1,11,31190W,15,43783W,1
2‐14093,21,31366W,32,43786W,17
15172W,5,31596W,1,43789W,36
16402CM,12,31628W,10,43790W,3
21819W,22,32155W,19,43795W,68
22113W,2,32157W,99,43796W,31
23677W1,1,32164W,99,43797W,43
23737W1,5,32165W,99,43831W,1
X23774W,3,32168W,99,44388W,2
25167W,1,32169W,99,A46035,2
25172W1,1,32173W,48,1‐91400‐93,4
22508W1,7,X32256W,4,91557‐42,8
25588W1,17,32386W,24,93742‐95,10
25590W1,1,33223W,16,A122130,2
25590W3,2,34439W,2,128947,2
25769W,28,34511W,1,A155470,2
25957W,3,36344W,9,200273,1
26098W1,3,37579W,1,A200289,6
26186W,22,X37832W,2,A201347,14
26187W,10,38014W,8,202305,1
26202W2,1,38050W,12,202377,20
26452W,1,38174W1,1,202768,1
26453W,1,38175W1,2,A202875,4
27298W1,1,38176W1,7,203054,1
27607W,4,38342W,2,203148,1
27913W,2,,99,203234,4
27925W,2,38611,21,203235,1
27970W1,90,38691W,1,203237,2
28170W,10,38724W,4,203242,4
28342W,2,39210W1,1,203247,4
28343W,2,X39288W,2,203432,3
29181W1,2,39717W,19,203436,6
29559W,40,40314W1,3,203439,2
LC VOUGHT,JOY COMPRESSOR,"PARTS, PAGE",1
Part Number,Qty,Part Number,Qty,Part Number,Qty
203440,2,215662,99,221898,2
203454,2,A215725,7,221977,50
205052,22,216317,3,221997,99
205053,24,216389,1,A222016,6
A205054,3,A216425,9,222226,56
205055,24,217469,2,222371,4
205179,11,217470,1,222372,4
205180,42,217474,2,A222599,12
205181,53,217839,29,234658,2
205182,29,A218047,1,A235518‐1,2
205183,7,218051,4,235770,67
205542,3,218548,10,235772,67
205558,1,218558,4,A235774,67
A205558,1,219195,3,A235778,67
206841,12,219578,2,235782,67
A207179,2,219625,3,A235788,67
A208217,20,219636,6,A235791,66
208265‐3,1,219637,3,235907,4
209570,2,219679,3,A236708,7
209572,1,A219689,42,236722,90
209573,2,219693,3,236732,1
211403,35,219695,3,236763,47
211435,2,219696,4,236765,3
A211441,2,A220009,3,236768,14
212449,20,RA220033,1,236819,2
212450,20,220242A,5,A237663,1
212472,24,220371,3,RA237968,6
213164‐3,1,A220480,7,238833,1
213165‐3,1,220996,50,238835,9
A213382,1,221014,1,238836,20
A213382‐1,1,221015,1,238837,1
A213382‐3,1,,1,238899,99
213685,7,221019,1,238901,35
213687,8,221020,2,239696,14
214175,7,221335,2,A239739,1
215360,4,221336,3,240243,4
215383,12,221696,15,240244,3
215657,99,221841,3,240290,14
215658,99,221844,4,240306,6
215659,99,OA221853,6,241344,1
215661,99,A221855,51,241377,2
LC VOUGHT,JOY COMPRESSOR,"PARTS, PAGE",2
Part Number,Qty,Part Number,Qty,Part Number,Qty
A242258,6,518624,26,519449‐1,2
A243180,7,518628,10,519475‐1,2
243275,6,518641,1,519475‐5,2
243282,1,518642,1,519501‐3,1
243665,4,519002‐32,1,519506‐2,1
243667,1,519022‐6,1,519506‐10,1
A243680,9,519022‐10,1,519506‐11,1
243854,6,519025‐19,2,519506‐17,1
A243956,2,519040‐1,1,519513,2
A244057,1,519040‐2,5,519519‐1,1
244095,16,519040‐4,1,519532‐2,1
244179,3,519041‐2,3,525688,19
244705,1,519041‐10,4,526608,1
244723,4,519041‐11,4,526682,8
245382,32,519050‐8,1,527140,9
266507,1,519056‐8,1,527344,2
342329,1,519056‐15,2,527435,1
461114,16,519100‐2,10,527502,2
501247‐420,2,519108‐3,2,527562‐12,2
514006‐10,8,519160‐6,2,527697‐12,1
514006‐11,12,519174‐2,1,527702‐5,1
514006‐12,5,519174‐22,1,527725‐5,2
514006‐13,1,519189,1,543102‐17,2
514006‐16,1,519200,4,543102‐28,2
514006‐17,3,519202,8,543102‐32,4
514006‐18,4,519207,1,543102‐33,1
