JOY DRILL,PARTS
Part Number,Qty,Part Number,Qty,Part Number,Qty
AM3,2,285SP,7,988HA,8
PA3,1,288HA,4,1025HL1,3
13HA,1,294HA2,1,1025HL2,19
13X17,3,294HA3,1,1027HL,5
14D,2,295HA2,6,1037HL1,12
27HA,3,313HL,5,X10413,5
31HA,5,316SP,2,1045D3,4
37X112,6,342HA,11,1045HA,2
AMP38R,1,343HA,1,1049HA,1
39SX33,16,362SP,3,1060HL1,6
40HA,1,383HA1,2,1062HA2,1
40SX5,1,404HA1,1,1077HA,1
42SX12,3,437HA,3,X1112HL1,1
48HA,99,464HL1,1,1112HL1,2
49HA,24,465HL1,29,1113HL,2
49HA1,26,522SP,2,1130HL,1
VA51,1,607HA2,1,1144HL,5
54HA,1,609HA,1,1151HL,8
83HA,3,616HA,3,1153SP,5
84HA1,6,625HA,3,1156HA,3
91HA,59,626HA,2,1198D2,1
PA103L,1,X655HA,1,1249SP,2
AMP115L,1,657SP,4,1253SP,11
AMP125L,1,671HA,7,1255HL,8
137HL,2,694HA,2,1257HA,1
140HL,8,715HA,1,1257HA2,3
162HA,4,768HA,1,1264DG,1
173SP,13,776HA,7,X10266HL,4
AMP200,1,779HA,9,1280SP,8
204HA1,1,824HA,2,1284HL,1
246HA2,1,846HA,2,1299D1,1
248HA,2,862HA2,2,G1326‐3,1
249HA1,2,881HL,5,1345DG,1
251HA1,2,926HA,2,1364SP,3
252HA,3,942HL,3,1505HL,1
252HA1,2,,2,1518AE,1
253HA1,1,964HL,20,1536HA,6
261HA2,2,967HA1,1,1540HA1,1
264HA1,1,973HA,1,1666D1,2
270HL1,3,975HA,22,1722HA,1
284HA2,1,978HA2,2,1723HA,3
LC VOUGHT,JOY DRILL,"PARTS, PAGE",1
Part Number,Qty,Part Number,Qty,Part Number,Qty
1724HA,2,3490HA1,4,3971D4,3
1726HA,3,3491HA,4,4104HA,3
1755HA,1,3492HA,5,4288HA,1
1765HA1,34,3500HA,2,4319HA,1
X1788HA1,7,3502HA,10,4456HA,48
1837D,4,3503HA,7,4460A,1
1850HA,8,3505HA,2,4465HA,28
2122D2,26,3587HA,16,4473HA1,4
2183HA,6,3606HA1,18,4474HA1,5
2275EA,1,3641HA,2,X4475HA,2
2313HA,6,3666HA,5,4476HA,8
2319HA,2,3682HA,2,4486HA,2
2375HA,4,3703HA,8,X4533HA1,3
2470HA,10,3712HA,1,4538HA,2
2539D,6,3713HA,1,4539HA,4
2852HA,4,3722HA,32,4540HA,3
